Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,1u,C_Disc_D4.3mm_W1.9mm_P5.00mm,125,-119.08,90,top
C2,1u,C_Disc_D4.3mm_W1.9mm_P5.00mm,141.5,-119,90,top
C3,100n,C_Disc_D4.3mm_W1.9mm_P5.00mm,171,-111.5,0,top
C4,10u,C_Disc_D4.3mm_W1.9mm_P5.00mm,171,-115.39,0,top
J1,Conn_01x10_Pin,JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical,141,-55.5,180,top
J2,Conn_01x10_Pin,JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical,121,-55.5,180,top
J3,Conn_01x04_Pin,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,178.5,-56.45,180,top
J6,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,110,-145.21,90,top
J7,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,126,-145.21,90,top
J8,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,142,-145.21,90,top
J9,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,158,-145.21,90,top
J10,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,174,-145.21,90,top
J11,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,190,-145.21,90,top
J12,Conn_01x04_Pin,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,193.5,-56.45,180,top
Q1,BS107,TO-92_Inline,118.73,-126.5,0,top
Q2,BS107,TO-92_Inline,129.73,-126.5,0,top
R1,5R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,136.42,-88.5,0,top
R2,47k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,171.66,-88.5,180,top
R3,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,115,-108.92,-90,top
R4,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,120,-119.08,90,top
R5,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,131,-109,-90,top
R6,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,136.5,-119.08,90,top
RV1,100k,Potentiometer_Bourns_3296W_Vertical,156.08,-88.5,0,top
U1,AD823,DIP-8_W7.62mm_Socket_LongPads,158,-111.5,0,top
